"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4296","Should Move Multiple Notes To Trash And Empty It","NOTE MANAGEMENT","Sun Feb 02 11:44:53 GMT 2025","passed","Sun Feb 02 11:44:58 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","3764","Should Create And Persist Notes And Categories In Both Online And Offline Modes","STORAGE FUNCTIONALITY","Sun Feb 02 11:45:03 GMT 2025","passed","Sun Feb 02 11:45:06 GMT 2025","STORAGE FUNCTIONALITY","Storage","",""
"","1656","Should Toggle Dark Mode From Settings","SETTINGS FUNCTIONALITY","Sun Feb 02 11:44:59 GMT 2025","passed","Sun Feb 02 11:45:01 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","1907","Should Sync Preview Mode State Between Footer And Settings","SETTINGS FUNCTIONALITY","Sun Feb 02 11:45:01 GMT 2025","passed","Sun Feb 02 11:45:03 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","0","Should Navigate To Source Note By Clicking Reference","Chrome","Sun Feb 02 11:44:47 GMT 2025","skipped","Sun Feb 02 11:44:47 GMT 2025","NOTE BASIC OPERATIONS","e2e/test-note-basic-operations.spec.ts","",""
"","2231","Should Create And Validate Multiple Predefined Categories","CATEGORY FUNCTIONALITY","Sun Feb 02 11:43:51 GMT 2025","passed","Sun Feb 02 11:43:54 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","16543","Should Preview Complex Markdown File","EDITOR MARKDOWN FEATURES","Sun Feb 02 11:44:18 GMT 2025","passed","Sun Feb 02 11:44:35 GMT 2025","EDITOR MARKDOWN FEATURES","Editor","",""
"","6176","Should Create And Validate Plain Text Note","EDITOR BASIC OPERATIONS","Sun Feb 02 11:43:59 GMT 2025","passed","Sun Feb 02 11:44:05 GMT 2025","EDITOR BASIC OPERATIONS","Editor","",""
"","1770","Should Delete An Existing Category","CATEGORY FUNCTIONALITY","Sun Feb 02 11:43:57 GMT 2025","passed","Sun Feb 02 11:43:59 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","3258","Should Create Category And Move Note Using Drag And Drop","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Sun Feb 02 11:44:35 GMT 2025","passed","Sun Feb 02 11:44:38 GMT 2025","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Navigation","",""
"","3432","Should Paste Note Reference Into Content","NOTE BASIC OPERATIONS","Sun Feb 02 11:44:44 GMT 2025","passed","Sun Feb 02 11:44:47 GMT 2025","NOTE BASIC OPERATIONS","Notes","",""
"","2443","Should Copy Note Reference To Clipboard","NOTE BASIC OPERATIONS","Sun Feb 02 11:44:41 GMT 2025","passed","Sun Feb 02 11:44:44 GMT 2025","NOTE BASIC OPERATIONS","Notes","",""
"","2807","Should Move Note Using Drag And Drop To Trash And Delete It Permanently","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Sun Feb 02 11:44:38 GMT 2025","passed","Sun Feb 02 11:44:41 GMT 2025","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Navigation","",""
"","7981","Should Search Notes And Validate Results Count","EDITOR BASIC OPERATIONS","Sun Feb 02 11:44:05 GMT 2025","passed","Sun Feb 02 11:44:13 GMT 2025","EDITOR BASIC OPERATIONS","Editor","",""
"","3367","Should Move Note To Trash And Restore It","NOTE MANAGEMENT","Sun Feb 02 11:44:50 GMT 2025","passed","Sun Feb 02 11:44:53 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","1449","Should Toggle Dark Mode From Footer","SETTINGS FUNCTIONALITY","Sun Feb 02 11:44:58 GMT 2025","passed","Sun Feb 02 11:44:59 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","2703","Should Create And Validate A New Category With Random Name","CATEGORY FUNCTIONALITY","Sun Feb 02 11:43:48 GMT 2025","passed","Sun Feb 02 11:43:51 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","5349","Should Create And Preview Markdown Note","EDITOR MARKDOWN FEATURES","Sun Feb 02 11:44:13 GMT 2025","passed","Sun Feb 02 11:44:18 GMT 2025","EDITOR MARKDOWN FEATURES","Editor","",""
"","2921","Should Add And Remove Note From Favorites","NOTE MANAGEMENT","Sun Feb 02 11:44:47 GMT 2025","passed","Sun Feb 02 11:44:50 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","3552","Should Move A Note To A Specific Category","CATEGORY FUNCTIONALITY","Sun Feb 02 11:43:54 GMT 2025","passed","Sun Feb 02 11:43:57 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
